full_address,lon,lat,School.Code,District.Name,School.Name.x,State.Board.District,Grade.Span,Title.I.School,grade,SPG.Score,EVAAS.Growth.Status,Number.of.Participation.Targets,Graduatio0.Project,Summer.Program,X4.Year.Cohort.Graduation.Rate.Percent,X5.Year.Cohort.Graduation.Rate.Percent,SPG.Grade_14,SPG.Score_14,SPG.Grade_15,SPG.Score_15,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,avg_age_media_collection,X_1_to_1_access,books_per_student,wap_num,wap_per_classroom,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,street_ad,scity_ad,state_ad,szip_ad,type_cd,sna_pgm_type_cd,school_type_txt,calendar_only_txt,student_num,Grad_project_status,stem,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,X_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,LEA.Number,School.No,LEA,School.Name.y,total_pop,pct_male,pct_female,pct_am_in,pct_asian,pct_hispanic,pct_black,pct_white,pct_multi,pct_pac_is,CEP,Final.ADM,Free,Reduced,EDS_pct,three_yr_atten_ratio,three_yr_atten_rank,Appro_Amount,Per_Pupil_Appro,Rank_Appro,No.Degree_pct,Vocational_pct,Bachelor_pct,Masters_pct,Advanced_pct,Doctorate_pct,State_PPE,State_PPE_Rank,Federal_PPE,Federal_PPE_Rank,Local_PPE,Local_PPE_Rank,Total_PPE,Total_PPE_Rank,num_teaching_positions,num_teachers_rec_suppl,average_suppl,num_principals,principals_rec_suppl,princ_avg_suppl,num_asst_prin,asst_prin_rec_suppl,avg_asst_prin_supp,t_num_of_buses,t_num_of_Pupils,t_Miles,t_Cost,t_Cost_Per_Bus,t_Cost_Per_Pupil,t_Cost_Per_Mile
"088 Hwy 158 West, Gatesville, NC, 27938",-76.6917488,36.4507759,370312,Gates County Schools,Gates County Senior High,Northeast Region,12-Sep,0,B,74,Exceeded,24,0,0,87.1,89.7,B,71,B,72,0.938,1.2,25.6,0,0,0.96,0.949,1.2,25.6,0,0,0.98,0.951,1.27,14.02,0.07,0,1.2,0.09,0,1997,0,18.9,63,1.31,H,916,916,997,1006,0.4,0.4,0.49,0.52,0,0,0.15,0.73,0.73,0.51,088 Hwy 158 West,Gatesville,NC,27938,P,R,Regular School,Traditional Calendar,500,0,0,0.878,0.22,0.22,0.561,41,4,0.244,0.289,0.024,0.098,0.914,370,312,Gates County Schools,Gates County Senior High,519,0.502890173,0.497109827,0.007707129,0,0.015414258,0.344894027,0.599229287,0.030828516,0.001926782,0,500,179,40,0.358,94.06,2033,2945000,1827,33,0,0,75.4,24.6,0,0,8092.44,10,942.9,87,2058.81,45,11094.15,18,121,121,550,5,5,4800,3,3,717,29,967,384585,564315,19459.14,583.57,1.47
"1 Bearcat Boulevard, Hendersonville, NC, 28791",-82.4642194,35.3214055,450334,Henderson County Schools,Hendersonville High,Western Region,12-Sep,0,B,83,Exceeded,21,1,1,95,95,B,82,B,84,0.951,0.13,9.03,0,0,1.46,0.955,0.73,8.11,0,0,1.64,0.951,1.27,14.02,0.07,0,1.2,0,0,1991,0,8.97,58,1.16,H,1064,1014,997,1006,0.48,0.37,0.49,0.52,0.18,0.13,0.15,0.56,0.49,0.51,1 Bearcat Boulevard,Hendersonville,NC,28791,P,R,Regular School,Traditional Calendar,753,1,0,0.874,0.146,0.25,0.604,48,15,0.417,0.172,0.042,0.084,1,450,334,Henderson County Schools,Hendersonville High,764,0.492146597,0.507853403,0,0.005235602,0.134816754,0.102094241,0.695026178,0.060209424,0.002617801,0,753,241,44,0.3201,95.14,1465,23525770,1742,41,0.1,0,65.3,33.7,0.9,0,5652.12,89,1041.44,72,1867.73,61,8561.29,92,903,903,3705,23,23,5823,15,15,4849,111,6251,1073153,3292400,29661.26,526.7,3.07
"1 Black Bear Drive, Canton, NC, 28716",-82.8414076,35.5217392,440378,Haywood County Schools,Pisgah High,Western Region,12-Sep,0,B,74,Met,27,0,0,86.1,90.3,C,69,C,69,0.955,2.69,5.58,0.1,0,1.8,0.955,2.38,10.8,0.13,0,1.55,0.951,1.27,14.02,0.07,0,1.2,0.01,1,1997,0,8.93,82,1,H,983,1004,997,1006,0.33,0.32,0.49,0.52,0.07,0.09,0.15,0.4,0.31,0.51,1 Black Bear Drive,Canton,NC,28716,P,R,Regular School,Traditional Calendar,968,0,0,0.977,0.134,0.299,0.567,67,17,0.328,0.074,0,0.023,1,440,378,Haywood County Schools,Pisgah High,988,0.53340081,0.46659919,0.004048583,0.006072874,0.050607287,0.004048583,0.908906883,0.026315789,0,0,968,377,64,0.3895,95.14,1459,14236239,1996,26,0.6,0,71.8,27.6,0,0,5713.24,81,1184.68,49,2459.2,22,9357.12,54,522,522,1967,16,16,4070,12,12,3694,74,3255,751733,2237560,30237.3,687.42,2.98
"1 Cougar Lane, Newport, NC, 28570",-76.9504094,34.7161474,160314,Carteret County Public Schools,Croatan High,Southeast Region,12-Sep,0,A,87,Exceeded,25,0,0,90.6,90.5,A,89,A,90,0.936,1.12,11.27,0.11,0,1.19,0.948,1.26,27.33,0.04,0,1.03,0.951,1.27,14.02,0.07,0,1.2,0.03,1,1997,0,13.3,44,0.9,H,1100,1080,997,1006,0.48,0.43,0.49,0.52,0.16,0.11,0.15,0.7,0.7,0.51,1 Cougar Lane,Newport,NC,28570,P,R,Regular School,Traditional Calendar,896,0,0,0.966,0.207,0.172,0.621,58,15,0.259,0.193,0,0.017,1,160,314,Carteret County Public Schools,Croatan High,933,0.506966774,0.493033226,0.006430868,0.006430868,0.050375134,0.033226152,0.853161844,0.049303323,0.001071811,0,896,190,53,0.2121,93.94,2055,20354396,2468,15,0.8,0,71.2,27.9,0.2,0,5589.94,97,837.39,101,2875.09,12,9302.42,59,680,680,2635,17,17,9754,14,14,4272,100,4044,891501,1889908,18899.08,467.31,2.12
"1 Dragon Pride Dr, Concord, NC, 28027",-80.738114,35.428301,130336,Cabarrus County Schools,W R Odell Elementary,Southwest Region,0K-05,0,B,74,NotMet,21,0,0,0,0,B,76,B,78,0.963,0,0.79,0,0,1.45,0.955,0.11,6.03,0.01,0,0.89,0.952,0.21,13.15,0.06,0,1.2,0.01,1,2001,0,15.2,40,0.68,E,0,1015,997,1006,0,0.54,0.49,0.52,0,0.17,0.15,0,0.48,0.51,1 Dragon Pride Dr,Concord,NC,28027,P,R,Regular School,Traditional Calendar,1015,0,0,0.982,0.143,0.268,0.589,56,2,0.232,0.074,0,0.018,0.986,130,336,Cabarrus County Schools,W R Odell Elementary,986,0.523326572,0.476673428,0.001014199,0.085192698,0.088235294,0.162271805,0.626774848,0.035496957,0.001014199,0,1015,135,32,0.133,96.25,540,56363009,1803,37,0,0.1,71.7,27.9,0.3,0.1,5218.56,113,638.81,110,2168.65,37,8026.02,112,2415,2415,3053,39,39,14376,72,72,5822,267,18607,4431581,11528532,43178.02,619.57,2.6
"1 High School Dr, Monroe, NC, 28112",-80.5268582,34.9724281,900336,Union County Public Schools,Monroe High,Southwest Region,12-Sep,0,C,56,NotMet,34,0,0,87.2,84.3,C,57,D,51,0.927,0.62,55.88,0.09,0,0.74,0.956,0.86,13.23,0.02,0,0.93,0.951,1.27,14.02,0.07,0,1.2,0.03,0,2001,1,8.01,86,1.28,H,828,1051,997,1006,0.33,0.64,0.49,0.52,0.07,0.18,0.15,0.31,0.68,0.51,1 High School Dr,Monroe,NC,28112,P,R,Regular School,Traditional Calendar,1122,0,0,0.918,0.23,0.149,0.622,74,6,0.324,0.099,0,0.082,0.975,900,336,Union County Public Schools,Monroe High,1148,0.504355401,0.495644599,0.00261324,0.004355401,0.480836237,0.355400697,0.128919861,0.027874564,0,0,1122,834,71,0.7433,92.98,2198,87825791,2097,23,2.1,0,69.3,28,0.4,0.1,5200.55,115,578.12,112,2335.55,31,8114.22,109,2744,2744,3953,51,51,11038,83,83,6003,314,24847,5318501,14331962,45643.19,576.81,2.69
"1 Learning Place, Gastonia, NC, 28052",-81.2268973,35.2440181,360460,Gaston County Schools,Forest Heights Elementary,Southwest Region,PK-05,1,D,53,Exceeded,13,0,0,0,0,D,40,D,49,0.958,0,22.72,0,0,0.65,0.946,0,13.52,0,0,0.93,0.952,0.21,13.15,0.06,0,1.2,0,0,2004,0,12.03,41,1.52,E,0,972,997,1006,0,0.46,0.49,0.52,0,0.1,0.15,0,0.34,0.51,1 Learning Place,Gastonia,NC,28052,P,R,Regular School,Traditional Calendar,383,0,0,1,0.308,0.231,0.462,26,1,0.308,0.21,0,0,1,360,460,Gaston County Schools,Forest Heights Elementary,392,0.5,0.5,0,0.007653061,0.270408163,0.395408163,0.267857143,0.058673469,0,1,383,288,10,0.752,95.88,821,43816704,1401,77,3.8,0,71,25,0.3,0.1,5402.62,107,971.33,81,1724.46,75,8098.41,111,1943,1906,2418,55,55,5277,64,64,3303,210,16739,2150168,6671948,31771.18,398.59,3.1
"1 Roadrunner Drive, Gastonia, NC, 28052",-81.2077268,35.2311234,360498,Gaston County Schools,Southwest Middle,Southwest Region,8-Jun,1,D,48,Met,25,0,1,0,0,D,42,D,44,0.945,0.77,54.94,0,0,0.85,0.941,0.47,32.14,0,0,0.93,0.951,0.83,14.64,0.06,0,1.2,0.01,1,2000,0,11.12,52,1.16,M,0,972,997,1006,0,0.46,0.49,0.52,0,0.1,0.15,0,0.34,0.51,1 Roadrunner Drive,Gastonia,NC,28052,P,R,Regular School,Traditional Calendar,779,0,0,0.846,0.462,0.154,0.385,52,1,0.173,0.122,0.019,0.115,1,360,498,Gaston County Schools,Southwest Middle,799,0.495619524,0.504380476,0.002503129,0.002503129,0.177722153,0.362953692,0.416770964,0.037546934,0,1,779,458,10,0.5879,95.56,1114,43816704,1401,77,3.8,0,71,25,0.3,0.1,5402.62,107,971.33,81,1724.46,75,8098.41,111,1943,1906,2418,55,55,5277,64,64,3303,210,16739,2150168,6671948,31771.18,398.59,3.1
"1 Rocket Drive, Asheville, NC, 28803",-82.477241,35.545811,110304,Buncombe County Schools,Reynolds High,Western Region,12-Sep,0,B,76,Met,35,1,0,92.8,92.7,B,72,B,77,0.955,1.41,11.73,0,0,2.46,0.95,2.17,20.21,0.03,0,1.45,0.951,1.27,14.02,0.07,0,1.2,0.05,1,1995,0,14.29,117,1.43,H,1060,1037,997,1006,0.56,0.47,0.49,0.52,0.19,0.16,0.15,0.63,0.54,0.51,1 Rocket Drive,Asheville,NC,28803,P,R,Regular School,Traditional Calendar,1279,1,0,0.898,0.22,0.268,0.512,81,14,0.284,0.197,0.012,0.077,1,110,304,Buncombe County Schools,Reynolds High,1311,0.513348589,0.486651411,0.001525553,0.022120519,0.083142639,0.094584287,0.736079329,0.062547674,0,0,1279,436,106,0.3409,95.48,1171,53388985,2197,20,1.5,0,67.1,31,0.3,0.2,5669,87,917.31,93,2493.43,20,9079.74,71,1928,1910,3721,42,42,6677,49,49,5077,262,13979,2795232,9282917,35430.98,664.06,3.32
"100 7th Street SW, Taylorsville, NC, 28681",-81.1822738,35.9202308,20328,Alexander County Schools,Taylorsville Elementary,Northwest Region,PK-05,1,B,71,Exceeded,9,0,0,0,0,C,58,C,57,0.963,2,4,0,0,1.75,0.963,0.67,2.61,0,0,1.08,0.952,0.21,13.15,0.06,0,1.2,0,0,1998,0,25.36,29,1,E,0,1002,997,1006,0,0.34,0.49,0.52,0,0.09,0.15,0,0.47,0.51,100 7th Street SW,Taylorsville,NC,28681,P,R,Regular School,Traditional Calendar,300,0,0,1,0.1,0.25,0.65,20,6,0.3,0.049,0,0,1,20,328,Alexander County Schools,Taylorsville Elementary,301,0.478405316,0.521594684,0,0.013289037,0.199335548,0.129568106,0.568106312,0.089700997,0,1,300,173,10,0.5767,95.93,783,5781900,1170,89,0.3,0,71.2,27.6,0.6,0.3,6063.47,63,923.51,92,1518.55,92,8505.53,100,377,377,2588,10,10,7841,6,6,5452,57,2141,651274,1404001,24631.6,655.77,2.16
